Unternehmen, Matches, keywords
Bayer AG2009_SR.pdf,9,aktualisieren;aktualisiert;angepasst;bearbeitet;bereinigt;geändert;korrigieren;korrigiert;überarbeitet
Bayer AG2010_SR.pdf,11,aktualisieren;aktualisiert;angepasst;bearbeitet;bereinigt;geändert;korrigieren;neu formulier;neu formulier;rückwirkend;überarbeitet
Bayer AG2011_SR.pdf,10,aktualisieren;aktualisiert;angepasst;beheben;bereinigt;geändert;neu formulier;neu formulier;rückwirkend;überarbeitet
Bayer AG2012_SR.pdf,10,aktualisieren;aktualisiert;angepasst;anpassen;beheben;bereinigt;geändert;rückwirkend;überarbeiten;überarbeitet
BayWa2014_SR.pdf,4,aktualisiert;angepasst;bearbeitet;überarbeitet
BayWa2015_SR.pdf,6,aktualisiert;angepasst;bearbeitet;berichtigt;korrigiert;überarbeitet
BayWa2016_SR.pdf,8,aktualisiert;angepasst;bearbeiten;bearbeitet;berichtigt;korrigiert;rückwirkend;überarbeiten
BayWa2017_SR.pdf,10,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;geändert;korrigiert;rückwirkend;überarbeitet
BayWa2018_SR.pdf,8,aktualisiert;angepasst;bearbeiten;bearbeitet;geändert;korrigiert;rückwirkend;überarbeiten
Bechtle AG2015_SR.pdf,5,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet
Bechtle AG2016_SR.pdf,4,aktualisiert;angepasst;bearbeiten;bearbeitet
Bechtle AG2017_SR.pdf,9,aktualisieren;aktualisiert;angepasst;anpassen;bearbeitet;geändert;überarbeiten;überarbeitet;überholt
Bechtle AG2018_SR.pdf,6,aktualisieren;aktualisiert;angepasst;bearbeitet;überarbeiten;überarbeitet
Beiersdorf AG2012_SR.pdf,0,
Beiersdorf AG2013_SR.pdf,1,anpassen
Beiersdorf AG2014_SR.pdf,3,angepasst;anpassen;überarbeitet
Beiersdorf AG2015_SR.pdf,4,aktualisieren;bearbeiten;geändert;überarbeitet
Beiersdorf AG2016_SR.pdf,2,angepasst;überarbeitet
Beiersdorf AG2017_SR.pdf,9,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;geändert;überarbeiten;überarbeitet
Beiersdorf AG2018_SR.pdf,9,aktualisieren;aktualisiert;angepasst;bearbeiten;beheben;bereinigt;revidiert;überarbeitet;umformulier
Bertrandt2016_SR.pdf,3,aktualisiert;angepasst;bearbeiten
Bertrandt2017_SR.pdf,2,angepasst;überarbeiten
Bertrandt2018_SR.pdf,3,aktualisiert;angepasst;bearbeitet
BHS tabletop2017_SR.pdf,2,aktualisiert;angepasst
BHS tabletop2018_SR.pdf,2,aktualisiert;angepasst
Bijou Brigitte2017_SR.pdf,1,aktualisiert
Bijou Brigitte2018_SR.pdf,1,aktualisiert
Bilfinger Berger SE2012_SR_kurz.pdf,1,bereinigt
Bilfinger Berger SE2014_SR.pdf,5,angepasst;anpassen;bearbeiten;bereinigt;überarbeitet
Bilfinger Berger SE2015_SR.pdf,4,aktualisiert;angepasst;bereinigt;überarbeitet
Bilfinger Berger SE2016_SR.pdf,4,aktualisiert;angepasst;überarbeiten;überarbeitet
Bilfinger Berger SE2018_SR.pdf,5,aktualisieren;aktualisiert;angepasst;bearbeitet;überarbeitet
Biotest2017_SR.pdf,5,aktualisiert;angepasst;bearbeitet;korrigiert;nicht vergleic
Biotest2018_SR.pdf,3,angepasst;bearbeitet;korrigiert
BMW AG2008_SR.pdf,6,aktualisiert;angepasst;anpassen;bearbeitet;geändert;überarbeitet
BMW AG2010_SR.pdf,7,aktualisiert;angepasst;bearbeitet;geändert;neu ermittelt;rückwirkend;überarbeitet
BMW AG2012_SR.pdf,6,aktualisiert;angepasst;bearbeitet;geändert;überarbeitet;überholt
BMW AG2013_SR.pdf,7,aktualisiert;angepasst;anpassen;bearbeitet;bereinigt;geändert;überarbeitet
BMW AG2014_SR.pdf,7,aktualisiert;angepasst;anpassen;bearbeitet;bereinigen;bereinigt;überarbeitet
BMW AG2015_SR.pdf,4,aktualisiert;angepasst;anpassen;bereinigt
BMW AG2016_SR.pdf,6,aktualisiert;angepasst;bearbeiten;bearbeitet;bereinigt;überarbeitet
BMW AG2017_SR.pdf,8,aktualisiert;angepasst;bearbeiten;bearbeitet;bereinigt;geändert;korrigiert;überarbeitet
BMW AG2018_SR.pdf,9,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;bereinigt;geändert;überarbeitet
Brenntag AG2012_SR.pdf,0,
Brenntag AG2015_SR.pdf,5,bearbeiten;bearbeitet;beheben;korrigieren;überarbeitet
Brenntag AG2016_SR.pdf,3,bearbeiten;bearbeitet;korrigieren
Brenntag AG2017_SR.pdf,5,angepasst;bearbeiten;bearbeitet;korrigieren;überarbeitet
Brenntag AG2018_SR.pdf,3,angepasst;bearbeiten;bearbeitet
BVB (Borussia Dortmund)2017_SR.pdf,6,angepasst;bearbeiten;bearbeitet;bereinigt;geändert;überarbeitet
BVB (Borussia Dortmund)2018_SR.pdf,9,aktualisieren;aktualisiert;angepasst;bearbeiten;bereinigt;neu formulier;neu formulier;revidiert;überarbeitet
Cancom AG2017_NFE.pdf,1,bearbeiten
Cancom AG2018_NFE.pdf,0,
Ceconomy AG (Metro AG) SR 2008.pdf,4,anpassen;bereinigt;geändert;überarbeitet
Ceconomy AG (Metro AG) SR_2010.pdf,2,angepasst;bereinigt
Ceconomy AG (Metro AG) SR_2012.pdf,8,angepasst;anpassen;bearbeiten;neu formulier;neu formulier;nicht vergleic;rückwirkend;überarbeitet
Ceconomy AG (Metro AG) SR_2014.pdf,5,aktualisiert;angepasst;anpassen;bearbeiten;beheben
Ceconomy AG (Metro AG) SR_2016.pdf,9,aktualisiert;angepasst;anpassen;bearbeiten;bereinigt;geändert;korrigieren;korrigiert;überarbeitet
Ceconomy AG2018_NFE.pdf,6,aktualisiert;angepasst;bearbeiten;beheben;bereinigt;überarbeitet
CENIT2017_SR.pdf,1,überarbeitet
CENIT2018_SR.pdf,1,überarbeitet
CENTROTEC Sustainable2017_NFE.pdf,1,aktualisiert
CENTROTEC Sustainable2018_NFE.pdf,0,
Cewe2010_SR.pdf,2,angepasst;bearbeitet
Cewe2011_SR.pdf,4,angepasst;bearbeiten;bearbeitet;überarbeitet
Cewe2012_SR.pdf,5,aktualisiert;angepasst;bearbeiten;bearbeitet;überarbeitet
Cewe2013_SR.pdf,4,aktualisiert;angepasst;bearbeiten;bearbeitet
Cewe2014_SR.pdf,5,aktualisiert;angepasst;bearbeiten;bearbeitet;überarbeitet
Cewe2015_SR.pdf,4,aktualisiert;angepasst;bearbeiten;bearbeitet
Cewe2016_SR.pdf,4,aktualisiert;angepasst;bearbeiten;bearbeitet
Cewe2017_SR.pdf,4,angepasst;bearbeiten;bearbeitet;überarbeitet
Cewe2018_SR.pdf,5,bearbeiten;bearbeitet;bereinigt;korrigiert;rückwirkend
COMPUGROUP MED.AG 2017_NFE.pdf,3,aktualisiert;angepasst;bearbeitet
COMPUGROUP MED.AG 2018_NFE.pdf,3,aktualisiert;angepasst;bearbeitet
Continental AG2011_SR.pdf,8,aktualisiert;anpassen;bereinigt;korrigieren;neu formulier;neu formulier;rückwirkend;überarbeitet
Continental AG2012_SR.pdf,9,aktualisiert;anpassen;bearbeiten;bereinigt;korrigieren;neu formulier;neu formulier;rückwirkend;überarbeitet
Continental AG2013_SR.pdf,11,aktualisiert;angepasst;anpassen;bearbeiten;bereinigt;geändert;korrigieren;neu formulier;neu formulier;rückwirkend;überarbeitet
Continental AG2014_SR.pdf,6,aktualisiert;angepasst;bearbeiten;bereinigt;korrigieren;rückwirkend
Continental AG2015_SR.pdf,5,aktualisiert;angepasst;bereinigt;korrigieren;rückwirkend
Continental AG2016_SR.pdf,1,bereinigt
Continental AG2017_SR.pdf,3,aktualisiert;angepasst;bereinigt
Continental AG2018_SR.pdf,5,aktualisieren;aktualisiert;angepasst;bearbeitet;bereinigt
Covestro AG2015_SR.pdf,0,
Covestro AG2016_SR.pdf,8,aktualisiert;angepasst;bearbeitet;bereinigt;geändert;revidiert;rückwirkend;überarbeiten
Covestro AG2017_SR.pdf,8,aktualisieren;aktualisiert;angepasst;beheben;bereinigt;revidiert;rückwirkend;überarbeiten
Covestro AG2018_SR.pdf,5,aktualisieren;aktualisiert;angepasst;beheben;bereinigt
CTS EVENTIM KGAA2017_NFE.pdf,2,aktualisiert;bearbeitet
CTS EVENTIM KGAA2018_NFE.pdf,4,aktualisiert;angepasst;bearbeiten;geändert
Daimler AG2009_SR_360.pdf,6,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;überarbeitet
Daimler AG2012_SR.pdf,8,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;geändert;überarbeitet
Daimler AG2013_SR.pdf,9,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;geändert;neu formulier;neu formulier;überarbeitet
Daimler AG2014_SR.pdf,8,aktualisiert;angepasst;anpassen;ausbessern;bearbeiten;bearbeitet;geändert;überarbeitet
Daimler AG2015_SR.pdf,4,aktualisiert;angepasst;bearbeitet;beheben
Daimler AG2016_SR.pdf,4,aktualisiert;angepasst;bearbeitet;überarbeitet
Daimler AG2017_SR.pdf,5,aktualisiert;angepasst;anpassen;bearbeitet;überarbeiten
Daimler AG2018_SR.pdf,6,aktualisieren;aktualisiert;angepasst;anpassen;bearbeitet;korrigieren
DELIVERY HERO SE2017_NFE.pdf,0,
DELIVERY HERO SE2018_NFE.pdf,2,aktualisiert;bearbeitet
Deutsche Post AG2008_SR.pdf,4,angepasst;neu formulier;neu formulier;überarbeitet
Deutsche Post AG2009_SR.pdf,10,aktualisiert;angepasst;anpassen;bearbeitet;beheben;geändert;neu formulier;neu formulier;revidieren;überarbeiten
Deutsche Post AG2010_SR.pdf,9,aktualisieren;aktualisiert;angepasst;anpassen;bearbeitet;beheben;geändert;korrigiert;überarbeitet
Deutsche Post AG2011_SR.pdf,8,aktualisiert;angepasst;bearbeitet;geändert;neu formulier;neu formulier;überarbeiten;überarbeitet
Deutsche Post AG2012_SR.pdf,10,aktualisieren;aktualisiert;angepasst;bearbeitet;geändert;neu formulier;neu formulier;revidiert;überarbeiten;überarbeitet
Deutsche Post AG2013_SR.pdf,9,aktualisieren;aktualisiert;angepasst;bearbeiten;bearbeitet;geändert;revidiert;rückwirkend;überarbeitet
Deutsche Post AG2014_SR.pdf,7,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;geändert;überarbeitet
Deutsche Post AG2015_SR.pdf,7,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;überarbeiten;überarbeitet
Deutsche Post AG2016_SR.pdf,8,aktualisieren;aktualisiert;angepasst;anpassen;bearbeitet;beheben;bereinigt;überarbeitet
Deutsche Post AG2017_SR.pdf,6,aktualisieren;aktualisiert;angepasst;beheben;bereinigt;überarbeitet
Deutsche Post AG2018_SR.pdf,6,aktualisieren;aktualisiert;angepasst;anpassen;überarbeiten;überarbeitet
Deutz AG2017_NFE.pdf,4,aktualisiert;angepasst;bearbeiten;geändert
Deutz AG2018_NFE.pdf,3,aktualisiert;angepasst;geändert
DMG Mori AG2017_SR.pdf,4,angepasst;anpassen;bearbeiten;überarbeitet
DMG Mori AG2018_SR.pdf,2,überarbeiten;überarbeitet
Dr Hönle2018_NFE.pdf,2,angepasst;anpassen
Draegerwerk VZO2017_SR.pdf,3,angepasst;anpassen;bereinigt
Draegerwerk VZO2018_SR.pdf,8,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;korrigiert
Dt_Telekom AG2008_SR.pdf,7,aktualisiert;angepasst;bearbeitet;bereinigt;geändert;korrigiert;überarbeitet
Dt_Telekom AG2009_SR.pdf,9,aktualisiert;bearbeiten;bearbeitet;bereinigt;geändert;neu formulier;neu formulier;rückwirkend;überarbeitet
Dt_Telekom AG2010_SR.pdf,12,aktualisiert;angepasst;bearbeiten;bearbeitet;beheben;bereinigt;geändert;neu formulier;neu formulier;nicht vergleic;rückwirkend;überarbeitet
Dt_Telekom AG2011_SR.pdf,11,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;geändert;korrigieren;rückwirkend;überarbeitet
Dt_Telekom AG2012_SR.pdf,13,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;geändert;korrigieren;rückwirkend;überarbeiten;überarbeitet
Dt_Telekom AG2013_SR.pdf,12,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;bereinigt;geändert;revidieren;rückwirkend;überarbeitet;überholt
Dt_Telekom AG2014_SR.pdf,9,aktualisieren;aktualisiert;angepasst;anpassen;bereinigt;geändert;revidieren;rückwirkend;überarbeitet
Dt_Telekom AG2015_Sr.pdf,9,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;bereinigt;geändert;revidieren
Dt_Telekom AG2016_SR.pdf,12,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;korrigiert;revidieren;überarbeiten;überarbeitet
Dt_Telekom AG2017_SR.pdf,12,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;geändert;korrigiert;revidieren;überarbeitet
Dt_Telekom AG2018_SR.pdf,12,aktualisieren;aktualisiert;angepasst;anpassen;bearbeitet;beheben;bereinigt;geändert;korrigiert;revidieren;überarbeitet;überholt
Duerr AG2011_SR.pdf,0,
Duerr AG2012_SR.pdf,1,angepasst
Duerr AG2013_SR.pdf,0,
Duerr AG2014_SR.pdf,1,bearbeiten
Duerr AG2015_SR.pdf,3,anpassen;bearbeiten;überarbeitet
Duerr AG2016_SR.pdf,1,bearbeiten
Duerr AG2017_SR.pdf,3,aktualisiert;bearbeiten;bereinigt
Duerr AG2018_SR.pdf,4,anpassen;bearbeiten;rückwirkend;überarbeitet
E.ON AG2008_SR.pdf,6,aktualisieren;aktualisiert;angepasst;bearbeiten;beheben;überarbeitet
E.ON AG2009_Sr.pdf,7,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;beheben;überarbeitet
E.ON AG2010_SR.pdf,12,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;beheben;bereinigt;geändert;korrigieren;rückwirkend;überarbeiten;überarbeitet
E.ON AG2011_SR.pdf,11,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;geändert;korrigieren;überarbeiten;überarbeitet
E.ON AG2012_SR.pdf,10,aktualisiert;angepasst;anpassen;bearbeiten;beheben;geändert;korrigieren;revidiert;rückwirkend;überarbeitet
E.ON AG2013_SR.pdf,12,aktualisiert;angepasst;anpassen;bearbeiten;beheben;bereinigt;geändert;korrigieren;korrigiert;rückwirkend;überarbeiten;überarbeitet
E.ON AG2014_SR.pdf,13,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;geändert;korrigiert;revidiert;rückwirkend;überarbeitet
E.ON AG2015_SR.pdf,11,aktualisiert;angepasst;anpassen;beheben;bereinigt;geändert;korrigiert;revidiert;rückwirkend;überarbeiten;überarbeitet
E.ON AG2016_SR.pdf,8,aktualisiert;angepasst;anpassen;bearbeitet;beheben;bereinigt;rückwirkend;überarbeitet
E.ON AG2017_SR.pdf,9,aktualisiert;angepasst;anpassen;bearbeitet;beheben;bereinigt;geändert;rückwirkend;überarbeitet
Eckert _ Ziegler Strahlen- und Medizintechnik2017_SR.pdf,2,angepasst;geändert
Eckert _ Ziegler Strahlen- und Medizintechnik2018_SR.pdf,1,angepasst
Einhell Germany2017_SR.pdf,3,angepasst;bearbeitet;geändert
Einhell Germany2018_SR.pdf,3,angepasst;bearbeitet;geändert
Elmos Semiconductor2017_NFE.pdf,0,
Elmos Semiconductor2018_NFE.pdf,0,
Elringklinger AG2011_SR.pdf,1,geändert
Elringklinger AG2012_SR.pdf,1,geändert
Elringklinger AG2013_SR.pdf,3,angepasst;bereinigt;überarbeitet
Elringklinger AG2014_SR.pdf,0,
Elringklinger AG2015_SR.pdf,2,anpassen;überarbeitet
Elringklinger AG2016_SR.pdf,3,angepasst;bearbeiten;überarbeitet
Elringklinger AG2017_SR.pdf,3,angepasst;bearbeitet;beheben
Elringklinger AG2018_SR.pdf,2,angepasst;überarbeitet
EUROMICRON AG2017_NFE.pdf,1,aktualisiert
EUROMICRON AG2018_NFE.pdf,1,aktualisiert
Evonik Industries AG2008_SR.pdf,2,angepasst;überarbeitet
Evonik Industries AG2009_SR.pdf,4,aktualisiert;angepasst;korrigiert;überarbeitet
Evonik Industries AG2010_SR.pdf,4,angepasst;anpassen;bearbeitet;überarbeitet
Evonik Industries AG2011_SR.pdf,8,aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;geändert;überarbeiten;überarbeitet
Evonik Industries AG2012_SR.pdf,8,aktualisieren;angepasst;bearbeitet;bereinigt;berichtigt;geändert;korrigiert;überarbeitet
Evonik Industries AG2013_SR.pdf,9,aktualisieren;angepasst;anpassen;bearbeitet;bereinigt;geändert;korrigieren;korrigiert;rückwirkend
Evonik Industries AG2014_SR.pdf,7,aktualisieren;angepasst;bereinigt;korrigieren;korrigiert;nicht vergleic;überarbeitet
Evonik Industries AG2015_SR.pdf,12,aktualisieren;aktualisiert;angepasst;bearbeiten;bearbeitet;bereinigt;geändert;korrigieren;korrigiert;rückwirkend;überarbeiten;überarbeitet
Evonik Industries AG2016_SR.pdf,10,aktualisiert;angepasst;anpassen;bereinigt;geändert;korrigieren;korrigiert;rückwirkend;überarbeiten;überarbeitet
Evonik Industries AG2017_SR.pdf,10,aktualisiert;angepasst;anpassen;bereinigt;geändert;korrigieren;korrigiert;nicht vergleic;rückwirkend;überarbeitet
Evonik Industries AG2018_SR.pdf,11,aktualisieren;aktualisiert;angepasst;bereinigt;berichtigt;geändert;korrigieren;korrigiert;nicht vergleic;rückwirkend;überarbeitet
Evotec AG2017_NFE.pdf,3,anpassen;bearbeitet;überarbeitet
Evotec AG2018_NFE.pdf,3,angepasst;anpassen;bearbeitet
Fielmann AG2017_NFE_SR.pdf,5,aktualisieren;aktualisiert;angepasst;bearbeitet;korrigieren
Fielmann AG2018_NFE_SR.pdf,5,aktualisiert;angepasst;anpassen;bearbeitet;korrigieren
First Sensor2017_NFE.pdf,1,angepasst
First Sensor2018_NFE.pdf,1,angepasst
Francotyp-Postalia2017_SR.pdf,10,aktualisieren;aktualisiert;angepasst;anpassen;bearbeiten;bearbeitet;beheben;bereinigt;geändert;überarbeitet
Francotyp-Postalia2018_SR.pdf,9,aktualisiert;angepasst;bearbeiten;bearbeitet;beheben;bereinigt;geändert;korrigiert;überarbeitet
Fraport AG FFM Airport2008_SR.pdf,6,aktualisiert;angepasst;anpassen;bearbeitet;bereinigt;geändert
Fraport AG FFM Airport2009_SR.pdf,7,aktualisiert;angepasst;anpassen;bearbeitet;bereinigt;korrigieren;überarbeitet
Fraport AG FFM Airport2010_SR.pdf,3,angepasst;geändert;rückwirkend
Fraport AG FFM Airport2011_SR.pdf,4,aktualisiert;angepasst;bearbeiten;rückwirkend
Fraport AG FFM Airport2012_SR.pdf,8,aktualisiert;angepasst;bearbeiten;beheben;geändert;korrigiert;rückwirkend;überarbeitet
Fraport AG FFM Airport2013_SR.pdf,9,aktualisiert;angepasst;bearbeiten;bearbeitet;beheben;geändert;korrigiert;rückwirkend;überarbeitet
Fraport AG FFM Airport2014_SR.pdf,6,aktualisiert;angepasst;bearbeitet;bereinigt;geändert;überarbeitet
Fraport AG FFM Airport2015_SR.pdf,5,aktualisiert;angepasst;bearbeitet;geändert;überarbeitet
Fraport AG FFM Airport2016_SR.pdf,8,aktualisiert;angepasst;bearbeiten;bearbeitet;beheben;bereinigt;geändert;überarbeitet
Fraport AG FFM Airport2017_SR.pdf,3,angepasst;geändert;überarbeitet
Fraport AG FFM Airport2018_SR.pdf,6,aktualisiert;angepasst;bearbeitet;bereinigt;geändert;überarbeitet
FRES.MED.CARE KGAA2017_NFE.pdf,2,aktualisiert;geändert
FRES.MED.CARE KGAA2018_NFE.pdf,6,aktualisieren;aktualisiert;angepasst;anpassen;rückwirkend;überarbeiten
Fresenius SE2017_NFE.pdf,1,angepasst
Fresenius SE2018_NFE.pdf,3,aktualisiert;angepasst;bearbeitet
Fuchs Petrol. AG2012_SR.pdf,0,
Fuchs Petrol. AG2013_SR.pdf,1,angepasst
Fuchs Petrol. AG2014_SR.pdf,0,
Fuchs Petrol. AG2015_SR.pdf,0,
Fuchs Petrol. AG2016_SR.pdf,0,
Fuchs Petrol. AG2017_SR.pdf,0,
Fuchs Petrol. AG2018_SR.pdf,0,
Gerry Weber Internat2015_SR.pdf,6,aktualisiert;angepasst;bearbeiten;bearbeitet;beheben;überarbeitet
Gerry Weber Internat2017_SR.pdf,4,aktualisiert;bearbeiten;bearbeitet;neu ermittelt
Gerry Weber Internat2018_NFE .pdf,5,aktualisiert;angepasst;bearbeiten;beheben;überarbeitet
Gesco2018_SR.pdf,2,anpassen;bearbeiten
GFT TECHNOLOGIES SE2017_NFE.pdf,0,
GFT TECHNOLOGIES SE2018_NFE.pdf,0,
GIGASET AG 2017_NFE.pdf,5,aktualisiert;anpassen;bearbeitet;geändert;überarbeitet
GIGASET AG 2018_NFE.pdf,5,aktualisiert;anpassen;bearbeitet;geändert;überarbeitet
GkSoftware2017_SR.pdf,5,aktualisieren;angepasst;bearbeitet;geändert;nicht vergleic
GkSoftware2018_SR.pdf,5,aktualisieren;angepasst;bearbeitet;geändert;nicht vergleic
Grammer2017_SR.pdf,4,angepasst;anpassen;bearbeiten;bearbeitet
Grammer2018_SR.pdf,4,angepasst;anpassen;bearbeiten;bearbeitet
Hamburg.Hafen U. Log. A-SP2012_SR.pdf,0,
Hamburg.Hafen U. Log. A-SP2013_SR.pdf,0,
Hamburg.Hafen U. Log. A-SP2014_SR.pdf,1,angepasst
Hamburg.Hafen U. Log. A-SP2015_SR.pdf,3,aktualisiert;angepasst;bearbeiten
Hamburg.Hafen U. Log. A-SP2016_SR.pdf,3,aktualisiert;angepasst;bereinigt
Hamburg.Hafen U. Log. A-SP2017_SR.pdf,2,aktualisiert;angepasst
Hamburg.Hafen U. Log. A-SP2018_SR.pdf,2,aktualisiert;angepasst
Hanse_Yachts2018_SR.pdf,0,
Hawesko2017_SR.pdf,1,bereinigt
Hawesko2018_SR.pdf,1,bereinigt
Heidelberg.Druckma2008_SR.pdf,4,aktualisiert;anpassen;bereinigt;korrigieren
Heidelberg.Druckma2009_SR.pdf,2,aktualisiert;bereinigt
Heidelberg.Druckma2010_SR.pdf,4,aktualisiert;angepasst;anpassen;bereinigt
Heidelberg.Druckma2011_SR.pdf,4,aktualisiert;angepasst;geändert;überarbeitet
Heidelberg.Druckma2012_SR.pdf,1,bearbeitet
Heidelberg.Druckma2018_NFE.pdf,2,angepasst;bereinigt
HeidelbergCement AG2008_SR.pdf,2,angepasst;nicht vergleic
HeidelbergCement AG2010_SR.pdf,2,aktualisiert;überarbeitet
HeidelbergCement AG2012_SR.pdf,3,aktualisiert;angepasst;überarbeitet
HeidelbergCement AG2014_SR.pdf,5,aktualisiert;angepasst;beheben;geändert;überarbeitet
HeidelbergCement AG2015_SR.pdf,5,aktualisieren;angepasst;anpassen;bereinigt;überarbeitet
HeidelbergCement AG2016_SR.pdf,7,aktualisieren;angepasst;bearbeitet;geändert;rückwirkend;überarbeiten;überarbeitet
HeidelbergCement AG2017_SR.pdf,6,aktualisiert;angepasst;bereinigt;geändert;rückwirkend;überholt
HeidelbergCement AG2018_SR.pdf,5,aktualisiert;angepasst;bereinigt;geändert;rückwirkend
Henkel AG_Co.KGAA2008_SR.pdf,4,angepasst;bereinigt;geändert;überarbeitet
Henkel AG_Co.KGAA2009_SR.pdf,7,angepasst;beheben;bereinigt;geändert;korrigieren;rückwirkend;überarbeitet
Henkel AG_Co.KGAA2010_SR.pdf,8,aktualisieren;aktualisiert;angepasst;bereinigt;neu formulier;neu formulier;rückwirkend;überarbeitet
Henkel AG_Co.KGAA2011_SR.pdf,4,angepasst;bereinigt;rückwirkend;überarbeitet
Henkel AG_Co.KGAA2012_SR.pdf,5,angepasst;bereinigt;korrigieren;rückwirkend;überarbeitet
Henkel AG_Co.KGAA2013_SR.pdf,7,angepasst;bearbeitet;bereinigt;korrigieren;korrigiert;rückwirkend;überarbeitet
Henkel AG_Co.KGAA2014_SR.pdf,6,angepasst;bereinigt;korrigieren;korrigiert;rückwirkend;überarbeitet
