Company;Year;ISIN;restatement;SR;NFE;Date SRNFE;Date AR;ReportSize SRNFE;ReportSentence SRNFE;ReportWords SRNFE;GRI;Keywords;KeywordsClean;SentenceRestatement;ReportSize AR;ReportSentence AR;ReportWords AR
dermapharm holding se;2019;fehlt;1;1;0;02.04.2020;02.04.2020;27;922;7510;0;vorjahr.*vorjahr;vorjahr vorjahr;bei mitarbeitern in führungspositionen lag der frauenanteil 2019 auf der ersten führungsebene bei 29 % (vorjahr: 46 %), auf der zweiten führungsebene bei 49 % (vorjahr: 50 %);27;874;7510;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Dermapharm Holding SE2019_SR.pdf
dermapharm holding se;2020;fehlt;1;1;0;26.04.2021;26.04.2021;34;1370;11068;1;wert.*vorjahr;wert vorjahr;mit blick auf die umsatzentwicklung der deutsch-sprachigen produktionsstandorte des dermapharm-konzerns erschwert die energieintensive produktion von allergopharma, die für 2020 erstmals zum  konsolidierungskreis zählt, eine vergleichbarkeit zu den vorjahreswerten;34;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Dermapharm Holding SE2020_SR.pdf
dermapharm holding se;2020;fehlt;1;1;0;26.04.2021;26.04.2021;34;1370;11068;1;wert.*angepasst;wert angepasst;wenn die bewertung der bekannt gewordenen arzneimittelrisiken ergibt, dass der zulassungsstatus von arzneimitteln dem stand der wissenschaftlichen erkenntnis angepasst werden muss, koordiniert die zentrale pharmakovigilanz- abteilung alle notwendigen maßnahmen zur gefah-renabwehr und informiert, falls erforderlich, nach genehmigung durch die zuständigen behörden über derartige veränderungen, sowie tritt mit ärzten, apothekern, patienten und der öffentlichkeit in  kontakt;34;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Dermapharm Holding SE2020_SR.pdf
dermapharm holding se;2020;fehlt;1;1;0;26.04.2021;26.04.2021;34;1370;11068;1;aktualisier.*bericht;aktualisier bericht;darüber hinaus ist dermapharm als inhaber von  arzneimittelzulassungen und pharmazeutisches unternehmen gemäß § 63d amg und der richtlinie 2010 / 84 / eu zur vorlage von regelmäßig aktualisier-ten berichten über die unbedenklichkeit von arznei-mitteln (psur – periodic safety update report)  verpflichtet;34;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Dermapharm Holding SE2020_SR.pdf
edag engineering group;2019;DE0006578008;1;1;0;29.05.2020;fehlt;32;676;6506;1;aktualisier.*zahl;aktualisier zahl;- aktualisierung, überarbeitung und erweiterung der  umweltkennzahlen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\EDAG Engineering Group2019_SR.pdf
edag engineering group;2020;DE0006578008;1;1;0;15.04.2021;fehlt;34;924;9109;1;scope.*vorjahr;scope vorjahr;besonders erfreulich ist, dass wir unsere co2-emissionen (scope 1 – 3) im jahr 2020 um 7% gegenüber dem vorjahr senken konnten;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\EDAG Engineering Group2020_SR.pdf
edag engineering group;2020;DE0006578008;1;1;0;15.04.2021;fehlt;34;924;9109;1;aktualisier.*zahl;aktualisier zahl;• die aktualisierung, überarbeitung und erweiterung der umweltkennzahlen,;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\EDAG Engineering Group2020_SR.pdf
edag engineering group;2020;DE0006578008;1;1;0;15.04.2021;fehlt;34;924;9109;1;vorjahr.*vorjahr;vorjahr vorjahr;000 mann quote in deutschland bei 4,29 (vorjahr: 4,42) und außerhalb deutschlands bei unter 1 (vorjahr: 1,6);fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\EDAG Engineering Group2020_SR.pdf
flatexdegiro ag;2020;fehlt;1;0;1;26.03.2021;fehlt;42;700;8421;0;anpass.*standard;anpass standard;wir werden kontinuierlich veränderungen in der gruppe prüfen und etwaige prozesse anpassen, um höchste standards einzuhalten;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Flatexdegiro AG2020_NFB.pdf
flatexdegiro ag;2020;fehlt;1;0;1;26.03.2021;fehlt;42;700;8421;0;wert.*vorjahr;wert vorjahr;in der letzten erhebung im jahr 2019 hat sich die wichtige maßgröße net promoter score (nps) für flatex auf einen wert von 47 verbessert und lag damit wiederum deutlich über dem vorjahresniveau (2018: 41 2017: 26);fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Flatexdegiro AG2020_NFB.pdf
frequentis ag;2019;fehlt;1;0;1;01.04.2020;fehlt;37;1194;10708;0;standard.*angepasst;standard angepasst;grundlegende elemente im safety-managementsystem sind die konsequente anwendung internationaler sicherheitsstandards an den geschäftsbereich angepasst , das verpflichtende safety assessment für alle produktentwicklungen, ein unternehmensweites hazard management system zur vorbeugenden risikominimierung und die unternehmensinterne safety academy zur ausbildung der mitarbeiter;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Frequentis AG2019_NFB.pdf
frequentis ag;2020;fehlt;1;0;1;05.04.2021;fehlt;48;1589;14954;1;standard.*angepasst;standard angepasst;grundlegende elemente im safety-managementsystem sind die konsequente anwendung internationaler sicherheitsstandards an den geschäftsbereich angepasst, das verpflichtende safety assessment für alle produktentwicklungen, ein unternehmensweites hazard management system zur vorbeugenden risikominimierung und die unternehmensinterne safety academy zur ausbildung der mitarbeiter;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Frequentis AG2020_NFB.pdf
frequentis ag;2020;fehlt;1;0;1;05.04.2021;fehlt;48;1589;14954;1;vorjahr.*daten;vorjahr daten;nicht gegenstand unseres auftrages war  • die prüfung von vorjahresangaben, zukunftsbezogener angaben oder daten aus externen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Frequentis AG2020_NFB.pdf
h+r kgaa;2019;fehlt;1;0;1;07.04.2020;fehlt;21;654;6514;1;anpass.*daten;anpass daten;aufgrund einer veränderung der energiever-sorgung am standort salzbergen 2018/2019 war eine rückwirkende anpassung der berechnungs-grundlage für die datenerhebung notwendig, um eine vergleichbarkeit für die vergangenen jahre sicherzustellen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\H+R KGAA2019_NFB.pdf
h+r kgaa;2019;fehlt;1;0;1;07.04.2020;fehlt;21;654;6514;1;wert.*vorjahr;wert vorjahr;im vergangenen jahr haben sich unsere sicherheitsmaßnahmen deutlich besser bewährt als in der vergangenheit: der lwif-wert unserer raffinerien lag 2019 bei 2,0 (vorjahr: 7,2), und damit erstmals wieder auf einem für uns zufrie-denstellenden niveau;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\H+R KGAA2019_NFB.pdf
h+r kgaa;2020;fehlt;1;1;0;20.04.2021;fehlt;58;1282;13622;1;vorjahr.*zahl;vorjahr zahl;und auch die harte arbeit der vorjahre im bereich nachhaltiger technologien und innovationskonzep­te haben sich ausgezahlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\H+R KGAA2020_SR.pdf
h+r kgaa;2020;fehlt;1;1;0;20.04.2021;fehlt;58;1282;13622;1;wert.*vorjahr;wert vorjahr;damit lagen wir um rund 21,8 % deutlich unter dem referenzwert von 2011 (861,2 l), übertrafen den vorjahreswert aus den bereits bei den emissionen geschil­derten effizienzgründen jedoch deutlich;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\H+R KGAA2020_SR.pdf
h+r kgaa;2020;fehlt;1;1;0;20.04.2021;fehlt;58;1282;13622;1;wert.*vorjahr;wert vorjahr;im vergangenen jahr haben sich unsere sicherheitsmaßnahmen deutlich besser bewährt als in der vergangenheit: der lwif-wert unserer raffinerien lag 2020 bei 5,7 (vorjahr: 2,0), und damit erstmals wieder auf dem schlechteren niveau der vorjahre;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\H+R KGAA2020_SR.pdf
hapag-lloyd ag;2020;fehlt;1;1;0;05.07.2021;fehlt;104;3610;35245;1;anpass.*method;anpass method;durch eine anpassung der statistischen methodik beim qsc suzhou zu erklären;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HAPAG-LLOYD AG 2020_SR.pdf
hapag-lloyd ag;2020;fehlt;1;1;0;05.07.2021;fehlt;104;3610;35245;1;wert.*aktualisier;wert aktualisier;die risikobewertungen überprüfen und aktualisieren wir bei bedarf, jedoch mindestens jährlich;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HAPAG-LLOYD AG 2020_SR.pdf
hapag-lloyd ag;2019;fehlt;1;1;0;08.04.2020;fehlt;119;4050;41257;1;wert.*angepasst;wert angepasst;2  aufgrund der darstellungsänderung der konzern­gewinn­ und verlust­rechnung wurden die vorjahreswerte angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HAPAG-LLOYD AG2019_SR.pdf
hapag-lloyd ag;2019;fehlt;1;1;0;08.04.2020;fehlt;119;4050;41257;1;vorjahr.*wert;vorjahr wert;die veränderte zuordnung unserer global service center in indien von der region mittlerer osten zur region asien erklärt den unterschied für diese zwei regionen im vergleich zu den vorjahreswerten;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HAPAG-LLOYD AG2019_SR.pdf
hapag-lloyd ag;2019;fehlt;1;1;0;08.04.2020;fehlt;119;4050;41257;1;wert.*aktualisier;wert aktualisier;die risikobewertungen überprüfen und aktualisieren wir bei bedarf, jedoch mindestens jährlich;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HAPAG-LLOYD AG2019_SR.pdf
hapag-lloyd ag;2019;fehlt;1;1;0;08.04.2020;fehlt;119;4050;41257;1;bericht.*vorjahr;bericht vorjahr;im berichtszeitraum hatte hierbei unser treibstoff einen durchschnittlichen gewichte­ten schwefelgehalt von 1,95 % (vorjahr: 2,26 %), womit wir unter dem bis zum 31;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HAPAG-LLOYD AG2019_SR.pdf
hellofresh se;2019;fehlt;1;1;0;27.04.2020;fehlt;28;742;9708;1;zahl.*aktualisier;zahl aktualisier;in den usa überprüft der ausschuss für vielfalt und integration alle personalkennzahlen in unserer organisation in puncto vielfalt und gibt häufi g aktualisierungen zu den mitarbeiter-ressourcengruppen heraus;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HELLOFRESH SE2019_SR.pdf
hellofresh se;2020;fehlt;0;1;0;17.03.2021;fehlt;38;1450;14717;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HELLOFRESH SE2020_SR.pdf
hensoldt ag;2020;fehlt;0;1;0;fehlt;fehlt;36;3386;13131;1;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\HENSOLDT AG2020_SR.pdf
hypoport se;2019;DE0005493365;0;0;1;23.03.2020;fehlt;12;213;2208;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Hypoport SE2019_NFB.pdf
hypoport se;2020;DE0005493365;0;0;1;16.03.2021;fehlt;13;235;2469;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Hypoport SE2020_NFB.pdf
jost werke ag;2020;fehlt;1;1;0;24.03.2021;fehlt;25;1617;13965;1;bericht.*vorjahr;bericht vorjahr;da es das erste berichtsjahr nach gri-stan-dards ist, gibt es noch keinen relevanten vergleich zum vorjahr und daher keine wesentlichen änderungen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Jost Werke AG2020_SR.pdf
jost werke ag;2020;fehlt;1;1;0;24.03.2021;fehlt;25;1617;13965;1;vorjahr.*wert;vorjahr wert;für die im geschäftsjahr 2020 übernommene ålö-gruppe gibt es keine vorjahreswerte;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Jost Werke AG2020_SR.pdf
jost werke ag;2020;fehlt;1;1;0;24.03.2021;fehlt;25;1617;13965;1;vorjahr.*wert;vorjahr wert;für die im geschäftsjahr 2020 übernommene ålö-gruppe gibt es keine vorjahreswerte;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Jost Werke AG2020_SR.pdf
jost werke ag;2020;fehlt;1;1;0;24.03.2021;fehlt;25;1617;13965;1;vorjahr.*wert;vorjahr wert;für die im geschäftsjahr 2020 übernommene ålö-gruppe gibt es keine vorjahreswerte;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Jost Werke AG2020_SR.pdf
jost werke ag;2020;fehlt;1;1;0;24.03.2021;fehlt;25;1617;13965;1;zahl.*anpass;zahl anpass;durch die krise ist die auslastung unserer produktionskapazitäten gegenüber dem vorjahr stark gesunken und wir mussten  die anzahl von mitarbeitern an die marktgegebenheiten anpassen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Jost Werke AG2020_SR.pdf
jost werke ag;2020;fehlt;1;1;0;24.03.2021;fehlt;25;1617;13965;1;vorjahr.*vorjahr;vorjahr vorjahr;dem vorjahreslevel von 25 % (vorjahr: 25 %);fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Jost Werke AG2020_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;daten.*vorjahr;daten vorjahr;wo verfügbar, werden vergleichs daten aus dem vorjahr ange -geben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;wert.*anpass;wert anpass;• durchführung weltweiter mitarbeitertage zu unternehmenswerten und sdgs• messung der weltweiten mitarbeiterzufriedenheit und ableitung von maßnahmen• durchführung weltweiter leadership feedbacks • vielfache auszeichnung als top-arbeit geber „top employer ingenieure deutschland“ • angebote für das change management bei organisationsanpassungen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;zahl.*vorjahr;zahl vorjahr;in der frachtlogistik konnten wir 2019 mit dem inventory & operations planning (siop) und dem „planungszirkel“ die fracht von  knorr-bremse systeme für nutzfahrzeuge besser planen und somit beispielsweise die anzahl der sonderfrach-ten im luftverkehr im vergleich zum vorjahr nahezu halbie-ren;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;daten.*vorjahr;daten vorjahr;die verbesserte daten-qualität hat zur folge, dass die vergleichbarkeit der hse-kennzahlen mit den vorjahren einschränkt ist;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;wert.*angepasst;wert angepasst;aufgrund der veräußerung des geschäftsbereichs powertech wurde der wert im vergleich zum vorjahr angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;wert.*angepasst;wert angepasst;aufgrund aktualisierter co2-faktoren in tschechien und der veräußerung des  geschäftsbereichs powertech wurde der wert im vergleich zum vorjahr angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;wert.*angepasst;wert angepasst;aufgrund der veräußerung des geschäftsbereichs powertech wurde der wert im vergleich zum vorjahr angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2019;fehlt;1;1;0;16.04.2020;fehlt;82;3035;33781;0;wert.*angepasst;wert angepasst;aufgrund aktualisierter co2-faktoren in tschechien und der veräußerung des geschäftsbereichs powertech wurde der wert im vergleich zum vorjahr angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;daten.*vorjahr;daten vorjahr;wo verfügbar, werden vergleichs daten aus dem vorjahr ange ­geben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;aktualisier.*daten;aktualisier daten;eine aktualisierte datenschutz policy wurde ende des jahres 2020 veröffent­licht;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;wert.*angepasst;wert angepasst;1) vorjahreswert angepasst, da einige tochterunternehmen nach  fertig stellung des berichts eigene einzelzertifikate erhalten haben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;zahl.*vorjahr;zahl vorjahr;in der frachtlogistik konnten wir 2020 mit dem sales, inven­tory & operations planning (siop) die fracht von knorr­bremse systeme für nutzfahrzeuge besser planen und somit bei­spielsweise die anzahl der sonderfrachten im vergleich zum vorjahr weiter reduzieren;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;wert.*angepasst;wert angepasst;4) vorjahreswert angepasst, da einige tochterunternehmen nach fertig  stellung des berichts eigene einzelzertifikate erhalten haben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;wert.*angepasst;wert angepasst;1) vorjahreswert angepasst, da einige tochterunternehmen nach fertig  stellung des  berichts eigene einzelzertifikate erhalten haben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;zahl.*angepasst;zahl angepasst;3) die kennzahlen wurden gemäß der knorr­bremse restatementpolicy für 2018 – 2020 angepasst, da durch strukturelle änderungen eine abweichung von rund 5 % vorliegt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;wert.*angepasst;wert angepasst;3) die werte für 2019 wurden angepasst, da einige tochterunternehmen nach fertigstellung des berichts eigene einzelzertifi kate erhalten haben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
knorr-bremse ag;2020;fehlt;1;1;0;30.03.2021;fehlt;90;3168;35181;0;zahl.*angepasst;zahl angepasst;4) die kennzahlen wurden gemäß der knorr­bremse restatementpolicy für 2018 – 2020 angepasst, da durch strukturelle änderungen eine abweichung von rund 5 % vorliegt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\Knorr-Bremse AG2020_SR.pdf
logwin ag;2019;fehlt;1;1;0;01.03.2019;fehlt;17;753;3716;1;aktualisier.*standard;aktualisier standard;jährlich aktualisierter, standardisierter checklisten, die regelmäßig an veränderte bedingun-;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\LOGWIN AG2019_SR.pdf
logwin ag;2020;fehlt;1;1;0;25.02.2020;fehlt;20;857;4073;1;aktualisier.*standard;aktualisier standard;jährlich aktualisierter, standardisierter checklisten, die regelmäßig an veränderte bedingun-;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\LOGWIN AG2020_SR.pdf
medios ag;2020;fehlt;0;0;1;29.03.2021;fehlt;13;581;4465;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\MEDIOS AG2020_NFB.pdf
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;^\d+\W*angepasst;angepasst;2 angepasst gemäß ias 8;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;aktualisier.*wert;aktualisier wert;der aufwand hat sich gelohnt, sagt natascha müller-ohl, syndikusrechtsanwältin bei saf-holland: „es ist uns gelungen, in dem aktualisierten verhaltenskodex unsere unternehmenswerte und -kultur zukunfts-weisend zu verankern;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;vorjahr.*wert;vorjahr wert;euro um 1,3 prozent unter dem vorjahreswert von 1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
